id,日付,営業担当,商材名,顧客名,競合社名,商談結果,極性
1,2026-01-06,佐藤,クラウド勤怠,東洋物産,アルファ商事,失注,ネガティブ
2,2026-01-08,鈴木,RPAツール,山田製作所,,継続,ニュートラル
3,2026-01-09,高橋,経費精算システム,みどり運輸,ベータシステムズ,失注,ネガティブ
4,2026-01-13,田中,AIチャットボット,北都銀行,,継続,ポジティブ
5,2026-01-15,佐藤,RPAツール,桜井建設,ガンマIT,受注,ポジティブ
6,2026-01-19,鈴木,クラウド勤怠,若葉食品,アルファ商事,継続,ニュートラル
7,2026-01-21,高橋,データ分析基盤,大和商事,,継続,ニュートラル
8,2026-01-23,田中,経費精算システム,青葉電機,ベータシステムズ,失注,ネガティブ
9,2026-01-27,佐藤,AIチャットボット,富士倉庫,,継続,ネガティブ
10,2026-01-29,鈴木,RPAツール,中央印刷,ガンマIT,失注,ネガティブ
11,2026-02-03,高橋,クラウド勤怠,白石不動産,アルファ商事,失注,ネガティブ
12,2026-02-05,田中,RPAツール,ひかり通信,,受注,ポジティブ
13,2026-02-06,佐藤,経費精算システム,港南物流,ベータシステムズ,継続,ニュートラル
14,2026-02-10,鈴木,AIチャットボット,三峰化学,,継続,ポジティブ
15,2026-02-12,高橋,RPAツール,旭フーズ,ガンマIT,受注,ポジティブ
16,2026-02-16,田中,データ分析基盤,東洋物産,アルファ商事,継続,ニュートラル
17,2026-02-18,佐藤,クラウド勤怠,山田製作所,,継続,ネガティブ
18,2026-02-20,鈴木,経費精算システム,みどり運輸,ベータシステムズ,失注,ネガティブ
19,2026-02-24,高橋,AIチャットボット,北都銀行,,受注,ポジティブ
20,2026-02-26,田中,RPAツール,桜井建設,ガンマIT,継続,ニュートラル
21,2026-03-03,佐藤,クラウド勤怠,若葉食品,アルファ商事,受注,ポジティブ
22,2026-03-05,鈴木,データ分析基盤,大和商事,,継続,ニュートラル
23,2026-03-06,高橋,RPAツール,青葉電機,ガンマIT,受注,ポジティブ
24,2026-03-10,田中,経費精算システム,富士倉庫,ベータシステムズ,失注,ネガティブ
25,2026-03-12,佐藤,AIチャットボット,中央印刷,,継続,ポジティブ
26,2026-03-16,鈴木,RPAツール,白石不動産,,受注,ポジティブ
27,2026-03-18,高橋,クラウド勤怠,ひかり通信,アルファ商事,継続,ニュートラル
28,2026-03-19,田中,AIチャットボット,港南物流,,継続,ニュートラル
29,2026-03-24,佐藤,経費精算システム,三峰化学,ベータシステムズ,継続,ネガティブ
30,2026-03-26,鈴木,データ分析基盤,旭フーズ,ガンマIT,失注,ネガティブ
31,2026-04-02,高橋,RPAツール,東洋物産,,受注,ポジティブ
32,2026-04-06,田中,クラウド勤怠,山田製作所,アルファ商事,継続,ニュートラル
33,2026-04-08,佐藤,AIチャットボット,みどり運輸,,受注,ポジティブ
34,2026-04-09,鈴木,経費精算システム,北都銀行,ベータシステムズ,継続,ポジティブ
35,2026-04-14,高橋,データ分析基盤,桜井建設,,継続,ニュートラル
36,2026-04-16,田中,RPAツール,若葉食品,ガンマIT,受注,ポジティブ
37,2026-04-20,佐藤,クラウド勤怠,大和商事,アルファ商事,失注,ネガティブ
38,2026-04-22,鈴木,AIチャットボット,青葉電機,,継続,ポジティブ
39,2026-04-24,高橋,経費精算システム,富士倉庫,ベータシステムズ,失注,ネガティブ
40,2026-04-28,田中,RPAツール,中央印刷,,受注,ポジティブ
41,2026-05-07,佐藤,データ分析基盤,白石不動産,ガンマIT,継続,ニュートラル
42,2026-05-11,鈴木,RPAツール,ひかり通信,,受注,ポジティブ
43,2026-05-12,高橋,クラウド勤怠,港南物流,アルファ商事,受注,ポジティブ
44,2026-05-14,田中,AIチャットボット,三峰化学,,受注,ポジティブ
45,2026-05-18,佐藤,経費精算システム,旭フーズ,ベータシステムズ,継続,ニュートラル
46,2026-05-20,鈴木,クラウド勤怠,東洋物産,,継続,ポジティブ
47,2026-05-22,高橋,RPAツール,山田製作所,ガンマIT,失注,ネガティブ
48,2026-05-26,田中,データ分析基盤,みどり運輸,,継続,ポジティブ
49,2026-05-27,佐藤,AIチャットボット,北都銀行,,受注,ポジティブ
50,2026-05-28,鈴木,経費精算システム,桜井建設,ベータシステムズ,失注,ネガティブ
51,2026-06-02,高橋,RPAツール,若葉食品,,受注,ポジティブ
52,2026-06-04,田中,クラウド勤怠,大和商事,アルファ商事,継続,ポジティブ
53,2026-06-08,佐藤,AIチャットボット,青葉電機,,受注,ポジティブ
54,2026-06-10,鈴木,データ分析基盤,富士倉庫,ガンマIT,受注,ポジティブ
55,2026-06-11,高橋,経費精算システム,中央印刷,ベータシステムズ,継続,ニュートラル
56,2026-06-16,田中,RPAツール,白石不動産,,受注,ポジティブ
57,2026-06-18,佐藤,クラウド勤怠,ひかり通信,アルファ商事,失注,ネガティブ
58,2026-06-22,鈴木,AIチャットボット,港南物流,,受注,ポジティブ
59,2026-06-24,高橋,RPAツール,三峰化学,ガンマIT,継続,ポジティブ
60,2026-06-25,田中,データ分析基盤,旭フーズ,,受注,ポジティブ
